Individual;Fitness;
2.296666853022625;(4080.0,);
2.296666853022625;(4080.0,);

7.514355217300899;(4040.0,);
7.514355217300899;(4040.0,);

4.776970638229714;(3200.0,);
4.776970638229714;(3200.0,);

2.296666853022625;(3120.0,);
2.296666853022625;(3120.0,);

2.296666853022625;(2400.0,);
2.296666853022625;(2400.0,);

2.296666853022625;(2320.0,);
2.296666853022625;(2320.0,);

7.514355217300899;(2280.0,);
7.514355217300899;(2280.0,);

159.81464608450167;(2280.0,);
159.81464608450167;(2280.0,);

42.178210481098404;(2220.0,);
42.178210481098404;(2220.0,);

4.067065640084641;(1920.0,);
4.067065640084641;(1920.0,);

