GEN;num-sims;pop-size;max-fitness;ellapsed-time;
1;1;100;(4149.1999999999998,);3238.7035183906555;
2;1;100;(4444.0,);2447.0514850616455;
3;1;100;(4322.3999999999996,);3376.9189977645874;
4;1;100;(4321.6000000000004,);3285.7634971141815;
5;1;100;(4506.3999999999996,);3430.280245780945;
6;1;100;(4558.8000000000002,);3408.676127433777;
7;1;100;(4383.1999999999998,);3690.9231367111206;
8;1;100;(4465.1999999999998,);3644.9509637355804;
9;1;100;(4554.8000000000002,);3691.6042981147766;
10;1;100;(4716.0,);3851.2202265262604;
11;1;100;(4628.0,);3758.1256234645844;
12;1;100;(4727.6000000000004,);3276.0064935684204;
13;1;100;(4742.3999999999996,);3443.392776966095;
14;1;100;(4740.3999999999996,);3292.9539148807526;
15;1;100;(4726.3999999999996,);3197.6164462566376;
16;1;100;(4716.8000000000002,);3365.4161655902863;
17;1;100;(4688.0,);3200.5563673973083;
18;1;100;(4712.8000000000002,);3623.765228509903;
19;1;100;(4788.8000000000002,);3162.730101108551;
20;1;100;(4869.1999999999998,);3353.7168328762054;
21;1;100;(4982.0,);3239.4990344047546;
22;1;100;(4758.3999999999996,);3202.7944498062134;
23;1;100;(4819.1999999999998,);3248.5036618709564;
24;1;100;(4835.1999999999998,);3169.681966781616;
25;1;100;(4798.0,);3200.6795020103455;
26;1;100;(4768.0,);2989.227600812912;
27;1;100;(4807.6000000000004,);3012.6290090084076;
28;1;100;(4856.3999999999996,);2864.8546261787415;
29;1;100;(4972.3999999999996,);2828.4437968730927;
30;1;100;(4917.6000000000004,);3094.7807846069336;
31;1;100;(5142.0,);3198.0031130313873;
32;1;100;(5078.0,);3355.7704899311066;
33;1;100;(5106.0,);2784.9597220420837;
34;1;100;(4981.1999999999998,);2939.3081703186035;
35;1;100;(5038.0,);2945.7594690322876;
36;1;100;(5018.8000000000002,);2938.253739833832;
37;1;100;(5027.1999999999998,);3119.54017663002;
38;1;100;(4892.3999999999996,);2981.8807244300842;
39;1;100;(5094.3999999999996,);2814.6764438152313;
40;1;100;(5147.6000000000004,);3108.093605518341;
41;1;100;(5296.0,);3178.704115152359;
42;1;100;(5147.1999999999998,);2738.6020069122314;
43;1;100;(5121.1999999999998,);2903.2558648586273;
44;1;100;(5136.0,);2930.9279961586;
45;1;100;(5062.3999999999996,);2877.3270795345306;
46;1;100;(5142.3999999999996,);3379.33056974411;
47;1;100;(5167.6000000000004,);2921.5528695583344;
48;1;100;(5050.8000000000002,);3070.392230272293;
49;1;100;(5205.1999999999998,);2733.6056036949158;
50;1;100;(5095.6000000000004,);2934.9842851161957;
51;1;100;(5105.1999999999998,);3200.8369195461273;
52;1;100;(5247.6000000000004,);3025.227583885193;
53;1;100;(5201.1999999999998,);3011.429702281952;
54;1;100;(5248.8000000000002,);2804.164434671402;
55;1;100;(5047.1999999999998,);2829.265239238739;
56;1;100;(5108.8000000000002,);2929.3641340732574;
57;1;100;(5171.6000000000004,);2854.026647567749;
58;1;100;(5352.8000000000002,);2713.610685825348;
59;1;100;(5125.6000000000004,);2932.7652626037598;
60;1;100;(5241.1999999999998,);3341.317009449005;
61;1;100;(5310.0,);2844.370907306671;
62;1;100;(5234.3999999999996,);2806.267395734787;
63;1;100;(5073.6000000000004,);2782.341418981552;
64;1;100;(5255.6000000000004,);2871.53199839592;
65;1;100;(5208.3999999999996,);2886.3284282684326;
66;1;100;(5134.0,);3523.0359904766083;
67;1;100;(5248.0,);2775.712946653366;
68;1;100;(5218.3999999999996,);2814.9101836681366;
69;1;100;(5181.1999999999998,);2648.3941447734833;
70;1;100;(5432.8000000000002,);2658.075903892517;
71;1;100;(5211.6000000000004,);2670.069316625595;
72;1;100;(5254.3999999999996,);2929.5722177028656;
73;1;100;(5262.3999999999996,);2843.8840532302856;
74;1;100;(5170.8000000000002,);2967.2461309432983;
75;1;100;(5247.6000000000004,);2827.7812027931213;
76;1;100;(5207.1999999999998,);2930.043177127838;
77;1;100;(4938.0,);2695.570474624634;
78;1;100;(5156.3999999999996,);2779.960004091263;
79;1;100;(5126.0,);2630.9099094867706;
80;1;100;(5199.1999999999998,);2678.381362915039;
81;1;100;(5215.6000000000004,);2899.373594522476;
82;1;100;(5339.1999999999998,);2957.2264637947083;
83;1;100;(5270.8000000000002,);2738.4616572856903;
84;1;100;(5228.8000000000002,);2741.78803730011;
85;1;100;(5275.6000000000004,);2762.6811158657074;
86;1;100;(5180.0,);2824.916425704956;
87;1;100;(5238.0,);2709.3973128795624;
88;1;100;(5183.1999999999998,);2840.798991918564;
88;1;100;(5166.8000000000002,);2703.624839067459;
89;1;100;(5296.0,);2883.148369073868;
90;1;100;(5108.0,);2762.2225053310394;
91;1;100;(5190.3999999999996,);2876.194667816162;
92;1;100;(4998.8000000000002,);2662.448763370514;
93;1;100;(5134.3999999999996,);2647.7808141708374;
94;1;100;(5160.0,);2724.1016659736633;
95;1;100;(5241.1999999999998,);2920.9933018684387;
96;1;100;(5254.0,);2783.8801107406616;
97;1;100;(5132.0,);2660.3277950286865;
98;1;100;(5144.0,);2731.985353708267;
99;1;100;(5134.0,);2654.5787303447723;
100;1;100;(5042.8000000000002,);2766.8306741714478;
