GEN;num-sims;pop-size;avg-fitness;ellapsed-time;
1;1;50;2914.8;209.49026799201965;
2;1;50;2552.0;215.94904255867004;
3;1;50;2557.6;203.6619963645935;
4;1;50;3061.6;202.71175813674927;
5;1;50;2685.2;206.89444303512573;
6;1;50;2914.0;202.42839670181274;
7;1;50;2596.0;217.5711829662323;
8;1;50;2826.4;204.74901604652405;
9;1;50;2561.6;207.16103863716125;
10;1;50;2711.2;210.28332996368408;
11;1;50;2556.8;209.26310968399048;
12;1;50;2736.0;209.61762237548828;
13;1;50;2856.0;214.2643871307373;
14;1;50;2606.4;208.34493613243103;
15;1;50;2663.6;215.27227330207825;
16;1;50;2840.8;208.04653477668762;
17;1;50;2574.4;205.2348096370697;
18;1;50;2595.6;210.84022879600525;
19;1;50;2714.8;202.43295764923096;
20;1;50;2814.4;210.10392785072327;
21;1;50;3010.8;209.14641785621643;
22;1;50;2572.0;213.43322467803955;
23;1;50;2495.2;206.35968661308289;
24;1;50;2619.2;207.1886329650879;
25;1;50;2814.4;197.8114287853241;
26;1;50;2669.6;212.4563992023468;
27;1;50;2680.0;203.88470339775085;
28;1;50;2635.2;201.56834626197815;
29;1;50;2826.0;204.49329113960266;
30;1;50;2768.0;203.92206144332886;
31;1;50;2758.8;208.133704662323;
32;1;50;2634.0;220.674955368042;
33;1;50;2723.2;203.143709897995;
34;1;50;2854.8;203.34151554107666;
35;1;50;2701.2;206.82981824874878;
36;1;50;2702.4;207.08073019981384;
37;1;50;2955.2;210.940256357193;
38;1;50;2563.6;204.77762818336487;
39;1;50;2592.4;203.22348594665527;
40;1;50;2751.6;217.1703486442566;
41;1;50;2542.4;204.3182451725006;
42;1;50;2648.4;205.77670669555664;
43;1;50;2736.4;221.66593480110168;
44;1;50;2739.6;204.6123387813568;
45;1;50;2766.4;209.61806297302246;
46;1;50;2711.2;207.0942506790161;
47;1;50;2704.0;208.5875632762909;
48;1;50;2772.4;203.64568567276;
49;1;50;2757.2;215.15006113052368;
50;1;50;2694.0;204.907546043396;
51;1;50;2821.2;205.8868203163147;
52;1;50;2634.8;210.6273648738861;
53;1;50;2525.6;207.4828884601593;
54;1;50;2777.2;212.56036639213562;
55;1;50;2654.8;211.5258083343506;
56;1;50;2545.2;205.66634106636047;
57;1;50;2788.0;213.19001936912537;
58;1;50;2882.8;203.2498745918274;
59;1;50;2607.6;214.6400969028473;
60;1;50;2513.6;205.025554895401;
61;1;50;2646.0;210.72131633758545;
62;1;50;2554.0;206.61040234565735;
63;1;50;2822.4;203.9775538444519;
64;1;50;2801.6;209.6668882369995;
65;1;50;2538.0;200.73951888084412;
66;1;50;2571.2;198.44879961013794;
67;1;50;2559.2;207.0127716064453;
68;1;50;2662.8;204.70546531677246;
69;1;50;2718.4;205.74021530151367;
70;1;50;2748.8;207.8885793685913;
71;1;50;2513.6;208.87740230560303;
72;1;50;2590.4;203.5228977203369;
73;1;50;2564.8;213.1468563079834;
74;1;50;2492.8;214.43613696098328;
75;1;50;2686.4;206.66949677467346;
76;1;50;2746.4;230.24868369102478;
77;1;50;2739.6;206.61860728263855;
78;1;50;2547.6;217.6764199733734;
79;1;50;2837.2;207.09966588020325;
80;1;50;2633.2;205.13361477851868;
81;1;50;2784.4;208.432772397995;
82;1;50;2676.4;215.25027132034302;
83;1;50;2648.4;208.0901346206665;
84;1;50;2682.8;205.24177050590515;
85;1;50;2627.6;211.67577004432678;
86;1;50;2866.8;205.6296727657318;
87;1;50;2652.4;204.21816778182983;
88;1;50;2686.4;208.55231523513794;
89;1;50;2844.8;210.20964121818542;
90;1;50;2676.4;211.73164916038513;
91;1;50;2662.0;204.68551468849182;
92;1;50;2536.8;209.6355378627777;
93;1;50;2763.6;208.01891374588013;
94;1;50;2951.2;202.3588511943817;
95;1;50;2637.2;205.33555483818054;
96;1;50;2645.2;211.3711540699005;
97;1;50;2636.0;205.5468089580536;
98;1;50;2886.4;204.298819065094;
99;1;50;2709.2;208.591726064682;
100;1;50;2776.0;196.131361246109;
