GEN;num-sims;pop-size;avg-fitness;ellapsed-time;
1;1;50;3862.0;209.4901738166809;
2;1;50;3914.0;215.94887590408325;
3;1;50;4043.2;203.66192364692688;
4;1;50;3581.6;202.71169328689575;
5;1;50;3694.4;206.89438819885254;
6;1;50;3779.2;202.42823100090027;
7;1;50;3664.8;217.57101583480835;
8;1;50;3518.4;204.74895930290222;
9;1;50;3580.0;207.1609115600586;
10;1;50;4108.0;210.2831654548645;
11;1;50;3558.8;209.26302528381348;
12;1;50;3736.4;209.6174566745758;
13;1;50;3944.0;214.26422309875488;
14;1;50;3857.2;208.3448359966278;
15;1;50;3494.4;215.2722156047821;
16;1;50;3724.4;208.04640674591064;
17;1;50;3616.0;205.2347548007965;
18;1;50;3888.8;210.84017086029053;
19;1;50;4084.8;202.43289971351624;
20;1;50;3836.8;210.10385966300964;
21;1;50;3793.2;209.14624881744385;
22;1;50;3742.4;213.43305706977844;
23;1;50;3646.4;206.35955357551575;
24;1;50;3481.6;207.1885643005371;
25;1;50;3546.4;197.8113739490509;
26;1;50;3878.0;212.45633602142334;
27;1;50;3718.8;203.88453769683838;
28;1;50;3629.2;201.5682897567749;
29;1;50;3908.0;204.49323558807373;
30;1;50;3640.0;203.92200565338135;
31;1;50;3597.6;208.1336488723755;
32;1;50;3762.4;220.67489361763;
33;1;50;3782.4;203.14354586601257;
34;1;50;3729.6;203.34134984016418;
35;1;50;3722.8;206.82975721359253;
36;1;50;4026.4;207.08056497573853;
37;1;50;3642.4;210.9401273727417;
38;1;50;3930.0;204.7774682044983;
39;1;50;3719.2;203.22331857681274;
40;1;50;3923.6;217.17021822929382;
41;1;50;3792.0;204.31818866729736;
42;1;50;3812.4;205.776535987854;
43;1;50;3472.8;221.66577076911926;
44;1;50;3549.2;204.61226058006287;
45;1;50;3646.8;209.61793446540833;
46;1;50;3809.2;207.09412169456482;
47;1;50;3614.4;208.58749556541443;
48;1;50;3634.4;203.64551401138306;
49;1;50;3900.8;215.1498944759369;
50;1;50;3842.8;204.90748691558838;
51;1;50;3752.8;205.8867597579956;
52;1;50;3902.0;210.62720012664795;
53;1;50;3839.6;207.48283100128174;
54;1;50;3834.4;212.56023645401;
55;1;50;3608.4;211.5257532596588;
56;1;50;3711.2;205.66621232032776;
57;1;50;3898.0;213.18985438346863;
58;1;50;4069.2;203.24970889091492;
59;1;50;3788.0;214.6399347782135;
60;1;50;3798.8;205.02549767494202;
61;1;50;3870.0;210.7212517261505;
62;1;50;3712.8;206.61023044586182;
63;1;50;3622.4;203.9773828983307;
64;1;50;3637.6;209.66683149337769;
65;1;50;3648.0;200.73946237564087;
66;1;50;3709.6;198.44872069358826;
67;1;50;3546.4;207.01267290115356;
68;1;50;3789.2;204.70540857315063;
69;1;50;3901.6;205.74004578590393;
70;1;50;3394.0;207.88851189613342;
71;1;50;3870.8;208.87733960151672;
72;1;50;3862.0;203.5227324962616;
73;1;50;3818.0;213.14679980278015;
74;1;50;3697.2;214.43607020378113;
75;1;50;3613.6;206.66928005218506;
76;1;50;3771.2;230.24851727485657;
77;1;50;3693.2;206.61843752861023;
78;1;50;3827.2;217.67636227607727;
79;1;50;3983.2;207.0995020866394;
80;1;50;3988.4;205.13351678848267;
81;1;50;3436.4;208.43270540237427;
82;1;50;3744.4;215.25021481513977;
83;1;50;3723.6;208.09007787704468;
84;1;50;3600.0;205.24171137809753;
85;1;50;3628.8;211.67570161819458;
86;1;50;3752.0;205.6295132637024;
87;1;50;3729.6;204.21811056137085;
88;1;50;3712.0;208.55215167999268;
89;1;50;3664.0;210.2094759941101;
90;1;50;3727.6;211.73148250579834;
91;1;50;3445.6;204.68542385101318;
92;1;50;3745.6;209.63537287712097;
93;1;50;3637.6;208.0187451839447;
94;1;50;3597.2;202.35868620872498;
95;1;50;3784.0;205.33546328544617;
96;1;50;3562.0;211.37108492851257;
97;1;50;3882.0;205.54664587974548;
98;1;50;3480.4;204.29868459701538;
99;1;50;3686.0;208.59166955947876;
100;1;50;3785.2;196.13110208511353;
