Game_Id;Turn_#;Agent;Time_Limit;Move_Made;List_Of_Moves;Board;Points
661c6bba-1979-4f22-81f0-c0f374aed12e;0;MCTS;30;((5, 1), (5, 2));"{(0, 2): [(1, 2)], (0, 1): [(1, 1)], (1, 1): [(1, 2), (2, 1)], (1, 2): [(2, 2)], (2, 1): [(2, 2), (3, 1)], (2, 2): [(3, 2)], (2, 5): [(2, 6)], (5, 1): [(5, 2)], (4, 2): [(4, 1)], (6, 4): [(6, 3)], (5, 3): [(6, 3)], (2, 3): [(3, 3)]}
";"[[ 61   3  43   3  19  61  61]
 [ 61  61   3   3 199  43  19]
 [  3   3 199  43  61  19 199]
 [ 43  19   3   3  61 163  19]
 [  3  61 163 163 199   3  43]
 [163 199  61  19 199 199  19]
 [ 19  61  61 199   3  61 163]]";180
661c6bba-1979-4f22-81f0-c0f374aed12e;1;MCTS;30;((3, 2), (3, 3));"{(3, 1): [(3, 2)], (2, 5): [(2, 6)], (6, 4): [(6, 3)], (5, 3): [(6, 3)], (2, 0): [(2, 1)], (3, 2): [(3, 3)], (5, 2): [(5, 3)]}
";"[[ 61 163  19 163  19  61  61]
 [ 61 199  43   3 199  43  19]
 [  3 199   3   3  61  19 199]
 [ 43  43 199  43  61 163  19]
 [  3  61 163 163 199   3  43]
 [163   3 199  19 199 199  19]
 [ 19  19  61 199   3  61 163]]";240
661c6bba-1979-4f22-81f0-c0f374aed12e;2;MCTS;30;((3, 3), (3, 2));"{(0, 0): [(0, 1)], (3, 3): [(3, 2)], (2, 5): [(2, 6)], (5, 0): [(5, 1)], (3, 4): [(3, 3)], (6, 4): [(6, 3)], (5, 3): [(6, 3)], (5, 2): [(5, 3)]}
";"[[  3  61  43 163  19  61  61]
 [ 61 163  19   3 199  43  19]
 [ 61 199  43   3  61  19 199]
 [  3 199   3 199  61 163  19]
 [  3  61 163 163 199   3  43]
 [163   3 199  19 199 199  19]
 [ 19  19  61 199   3  61 163]]";300
661c6bba-1979-4f22-81f0-c0f374aed12e;3;MCTS;30;((5, 0), (5, 1));"{(0, 2): [(1, 2)], (0, 0): [(0, 1)], (1, 4): [(1, 3)], (2, 5): [(2, 6)], (5, 0): [(5, 1)], (6, 4): [(6, 3)], (5, 3): [(6, 3)], (5, 2): [(5, 3)]}
";"[[  3  61  43  19  19  61  61]
 [ 61 163  19  61 199  43  19]
 [ 61 199  43   3  61  19 199]
 [  3 199 199 163  61 163  19]
 [  3  61 163 163 199   3  43]
 [163   3 199  19 199 199  19]
 [ 19  19  61 199   3  61 163]]";360
661c6bba-1979-4f22-81f0-c0f374aed12e;4;MCTS;30;((5, 3), (6, 3));"{(0, 2): [(1, 2)], (2, 0): [(2, 1)], (1, 1): [(1, 0)], (1, 4): [(1, 3)], (2, 5): [(2, 6)], (4, 1): [(5, 1)], (6, 4): [(6, 3)], (5, 3): [(6, 3)], (5, 2): [(5, 3)]}
";"[[199  61  43  19  19  61  61]
 [199 163  19  61 199  43  19]
 [ 19 199  43   3  61  19 199]
 [  3 199 199 163  61 163  19]
 [ 61  61 163 163 199   3  43]
 [ 61 163 199  19 199 199  19]
 [ 19  19  61 199   3  61 163]]";600
661c6bba-1979-4f22-81f0-c0f374aed12e;5;MCTS;30;((5, 2), (6, 2));"{(1, 3): [(1, 4)], (5, 1): [(5, 2)], (5, 2): [(6, 2)], (3, 2): [(4, 2)], (6, 2): [(6, 3)]}
";"[[199 163 163  61 199  43  61]
 [199  61  43 199  19  61  19]
 [ 19 163  43  19 199  43 199]
 [  3 199  19  61  61  19  19]
 [ 61 199  43   3  61 163  43]
 [ 61  61 199 163 199   3  19]
 [ 19  19  61  19   3  61 163]]";660
661c6bba-1979-4f22-81f0-c0f374aed12e;6;MCTS;30;((0, 0), (0, 1));"{(0, 0): [(0, 1)], (1, 3): [(1, 4)], (6, 1): [(6, 2)], (4, 2): [(5, 2)], (6, 2): [(6, 3)]}
";"[[ 43 199  61  61 199  43  61]
 [199 163 163 199  19  61  19]
 [199  61  43  19 199  43 199]
 [ 19 163  43  61  61  19  19]
 [  3 199  19   3  61 163  43]
 [ 61 199  43 163 199   3  19]
 [ 19  19 199  19   3  61 163]]";720
661c6bba-1979-4f22-81f0-c0f374aed12e;7;MCTS;30;((4, 2), (5, 2));"{(1, 3): [(1, 4)], (6, 1): [(6, 2)], (4, 2): [(5, 2)], (6, 2): [(6, 3)]}
";"[[ 43  43  61  61 199  43  61]
 [199 163 163 199  19  61  19]
 [  3  61  43  19 199  43 199]
 [ 19 163  43  61  61  19  19]
 [  3 199  19   3  61 163  43]
 [ 61 199  43 163 199   3  19]
 [ 19  19 199  19   3  61 163]]";900
661c6bba-1979-4f22-81f0-c0f374aed12e;8;MCTS;30;((2, 3), (2, 2));"{(1, 2): [(1, 3)], (2, 3): [(2, 2), (2, 4)], (1, 3): [(2, 3)], (2, 4): [(3, 4)], (5, 2): [(5, 3), (6, 2)], (6, 1): [(6, 2)], (3, 3): [(3, 4)], (6, 2): [(6, 3)]}
";"[[ 43  43  61  61  19  43  61]
 [199 163 199  61 199  61  19]
 [  3  61  61 199  19  43 199]
 [ 19 163 163  19 199  19  19]
 [  3 199 163   3  61 163  43]
 [ 61 199  19 163 199   3  19]
 [ 19  19 199  19   3  61 163]]";960
661c6bba-1979-4f22-81f0-c0f374aed12e;9;MCTS;30;((3, 3), (3, 4));"{(2, 4): [(3, 4)], (5, 2): [(5, 3), (6, 2)], (6, 1): [(6, 2)], (3, 3): [(3, 4)], (6, 2): [(6, 3)]}
";"[[ 43  43  61  19  19  43  61]
 [199 163 199 163 199  61  19]
 [  3  61 199  61  19  43 199]
 [ 19 163 163  19 199  19  19]
 [  3 199 163   3  61 163  43]
 [ 61 199  19 163 199   3  19]
 [ 19  19 199  19   3  61 163]]";1020
661c6bba-1979-4f22-81f0-c0f374aed12e;10;MCTS;30;((5, 2), (5, 3));"{(3, 2): [(3, 3)], (2, 3): [(3, 3)], (5, 2): [(5, 3), (6, 2)], (6, 1): [(6, 2)], (6, 2): [(6, 3)]}
";"[[ 43  43  61  19  43   3 163]
 [199 163 199 163  19  43  61]
 [  3  61 199  61 199  61  19]
 [ 19 163 163 199  19  43 199]
 [  3 199 163   3  61 163  43]
 [ 61 199  19 163 199   3  19]
 [ 19  19 199  19   3  61 163]]";1560
661c6bba-1979-4f22-81f0-c0f374aed12e;11;MCTS;30;((2, 3), (2, 4));"{(0, 3): [(1, 3)], (1, 2): [(1, 3)], (1, 3): [(2, 3), (1, 4)], (2, 2): [(2, 3)], (2, 3): [(2, 4), (3, 3)], (4, 0): [(4, 1)], (6, 2): [(6, 3)]}
";"[[ 43   3   3  19  43   3 163]
 [199  43  19 199  19  43  61]
 [  3   3 199  19 199  61  19]
 [ 19 163 163 199  19  43 199]
 [  3 199   3   3  61 163  43]
 [ 61 199  61  19 199   3  19]
 [ 19  19  61  19   3  61 163]]";1680
661c6bba-1979-4f22-81f0-c0f374aed12e;12;MCTS;30;((3, 3), (4, 3));"{(3, 6): [(4, 6)], (3, 3): [(4, 3)], (0, 3): [(0, 4)], (0, 2): [(0, 3)], (2, 2): [(2, 3)], (4, 0): [(4, 1)], (6, 2): [(6, 3)]}
";"[[ 43   3   3  43   3   3 163]
 [199  43  19  43 199  43  61]
 [  3   3 199   3 163  61  19]
 [ 19 163 163  19  43  43 199]
 [  3 199   3   3  61 163  43]
 [ 61 199  61  19 199   3  19]
 [ 19  19  61  19   3  61 163]]";1860
661c6bba-1979-4f22-81f0-c0f374aed12e;13;MCTS;30;((3, 4), (4, 4));"{(3, 4): [(4, 4)], (4, 3): [(4, 2)], (5, 4): [(6, 4)], (5, 5): [(6, 5)], (3, 3): [(4, 3), (3, 4)]}
";"[[ 43   3   3  61 199  61 163]
 [199  43  19  43   3   3  61]
 [  3   3 199  43 199  43  19]
 [ 19 163 163  61 163  61 199]
 [  3 199   3  43  61 163  43]
 [ 61 199  61   3 199   3  19]
 [ 19  19  61   3   3  61 163]]";2220
661c6bba-1979-4f22-81f0-c0f374aed12e;14;MCTS;30;((3, 1), (3, 2));"{(0, 4): [(1, 4)], (1, 0): [(2, 0)], (2, 0): [(2, 1)], (3, 0): [(3, 1)], (3, 1): [(4, 1), (3, 2)], (4, 2): [(4, 3)], (4, 3): [(4, 2)], (5, 4): [(6, 4)], (5, 5): [(6, 5)], (1, 3): [(1, 4)]}
";"[[ 43 199  19 199  61 199 163]
 [199   3   3  61 199  61  61]
 [  3  43  19  19   3   3  19]
 [ 19   3 199  43 199  43 199]
 [  3 199   3  61 163 163  43]
 [ 61 199  61   3 199   3  19]
 [ 19  19  61   3   3  61 163]]";2400
