Game_Id;Turn_#;Agent;Time_Limit;Move_Made;List_Of_Moves;Board;Points
6af6387f-f229-4e85-8605-c5049346c2a2;0;MCTS;1;((3, 3), (3, 4));"{(1, 2): [(2, 2)], (2, 6): [(3, 6)], (3, 3): [(4, 3), (3, 4)], (4, 5): [(5, 5)], (3, 4): [(4, 4)], (1, 5): [(1, 4)], (4, 2): [(5, 2)], (5, 2): [(5, 3)]}
";"[[163 163  19  61  61  43  19]
 [ 43  19 199  43 163   3  61]
 [ 61  61 163   3  19 163  19]
 [ 19 199 199  43 199 163 199]
 [ 43  61 199 163  43  43  19]
 [163  43  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";60
6af6387f-f229-4e85-8605-c5049346c2a2;1;MCTS;1;((2, 1), (2, 0));"{(2, 6): [(3, 6)], (4, 5): [(5, 5)], (2, 1): [(2, 0)], (1, 5): [(1, 4)], (4, 2): [(5, 2)], (0, 3): [(1, 3)], (2, 4): [(2, 3)]}
";"[[163   3  61  19  61  43  19]
 [ 43 163  19  61 163   3  61]
 [ 61  19 199  43  19 163  19]
 [ 19  61 163   3  43 163 199]
 [ 43  61 199 163  43  43  19]
 [163  43  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";120
6af6387f-f229-4e85-8605-c5049346c2a2;2;MCTS;1;((4, 5), (5, 5));"{(3, 2): [(4, 2)], (2, 6): [(3, 6)], (4, 5): [(5, 5)], (1, 5): [(1, 4)], (4, 2): [(5, 2)], (0, 3): [(1, 3), (0, 4)], (2, 4): [(2, 3)]}
";"[[163  61  61  19  61  43  19]
 [ 43 163  19  61 163   3  61]
 [ 19  61 199  43  19 163  19]
 [ 19   3 163   3  43 163 199]
 [ 43 163 199 163  43  43  19]
 [163  43  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";180
6af6387f-f229-4e85-8605-c5049346c2a2;3;MCTS;1;((4, 4), (4, 5));"{(3, 2): [(4, 2)], (2, 6): [(3, 6)], (4, 4): [(4, 5)], (5, 4): [(5, 5)], (1, 4): [(1, 5)], (1, 5): [(1, 6), (2, 5)], (2, 3): [(3, 3)], (4, 2): [(5, 2)], (0, 3): [(1, 3), (0, 4)], (2, 4): [(2, 3)]}
";"[[163  61  61  19  61 163  19]
 [ 43 163  19  61 163  19  61]
 [ 19  61 199  43  19 163  19]
 [ 19   3 163   3  43  43 199]
 [ 43 163 199 163  43   3  19]
 [163  43  19 199 199  43  19]
 [199  19  61 163 199   3 199]]";240
6af6387f-f229-4e85-8605-c5049346c2a2;4;MCTS;1;((1, 5), (1, 4));"{(3, 2): [(4, 2)], (2, 6): [(3, 6)], (1, 5): [(1, 4)], (4, 5): [(5, 5)], (0, 6): [(1, 6)], (4, 2): [(5, 2)], (0, 3): [(1, 3), (0, 4)], (0, 2): [(0, 3)]}
";"[[163  61  61  19  61  61  19]
 [ 43 163  19  61 163 199  61]
 [ 19  61 199  43  19 163  19]
 [ 19   3 163   3  43 163 199]
 [ 43 163 199 163   3  19  19]
 [163  43  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";300
6af6387f-f229-4e85-8605-c5049346c2a2;5;MCTS;1;((4, 2), (5, 2));"{(3, 2): [(4, 2)], (2, 6): [(3, 6)], (0, 6): [(1, 6)], (4, 2): [(5, 2)], (0, 3): [(1, 3), (0, 4)], (0, 2): [(0, 3)]}
";"[[163  61  61  19  61  61  19]
 [ 43 163  19  61 199  43  61]
 [ 19  61 199  43  19 199  19]
 [ 19   3 163   3  43  61 199]
 [ 43 163 199 163   3  19  19]
 [163  43  19 199 199 163  19]
 [199  19  61 163 199   3 199]]";360
6af6387f-f229-4e85-8605-c5049346c2a2;6;MCTS;1;((2, 6), (3, 6));"{(1, 2): [(2, 2)], (1, 3): [(2, 3)], (2, 6): [(3, 6)], (2, 3): [(2, 2)], (4, 3): [(5, 3), (4, 2)], (2, 2): [(2, 1), (2, 3)], (0, 5): [(1, 5)], (3, 4): [(4, 4)], (1, 1): [(1, 2)], (4, 0): [(5, 0)]}
";"[[163  61  61  19 199  61  19]
 [ 43 163  61  19  61  43  61]
 [ 19  61  19  61 199 199  19]
 [ 19   3 199  43  19  61 199]
 [ 43 163 163   3  43  19  19]
 [163  43  19 163   3 163  19]
 [199  19  61 163 199   3 199]]";480
6af6387f-f229-4e85-8605-c5049346c2a2;7;MCTS;1;((2, 4), (2, 5));"{(1, 2): [(2, 2)], (1, 4): [(2, 4)], (2, 4): [(2, 5), (3, 4)], (1, 5): [(2, 5)], (2, 3): [(2, 2)], (2, 1): [(2, 2)], (4, 3): [(5, 3), (4, 2)], (2, 2): [(2, 1), (2, 3)], (2, 5): [(3, 5)], (3, 4): [(4, 4)], (1, 1): [(1, 2)], (4, 0): [(5, 0)]}
";"[[163  61  61  19 199  19 199]
 [ 43 163  61  19 199  61  61]
 [ 19  61  19  61  61  43  43]
 [ 19   3 199  43  19  61  61]
 [ 43 163 163   3  43  19  19]
 [163  43  19 163   3 163  61]
 [199  19  61 163 199   3 199]]";660
6af6387f-f229-4e85-8605-c5049346c2a2;8;MCTS;1;((4, 3), (5, 3));"{(1, 2): [(2, 2)], (4, 6): [(5, 6)], (4, 3): [(5, 3), (4, 2)], (0, 6): [(1, 6)], (1, 5): [(2, 5)], (2, 3): [(2, 2)], (3, 6): [(4, 6)], (2, 2): [(2, 1), (2, 3)], (1, 6): [(2, 6)], (3, 4): [(4, 4)], (1, 1): [(1, 2)], (4, 0): [(5, 0)]}
";"[[163  61  61  19  19 163  61]
 [ 43 163  61  19 199 163 199]
 [ 19  61  19  61 199 199  61]
 [ 19   3 199  43  19  19  61]
 [ 43 163 163   3  43  19  19]
 [163  43  19 163   3 163  61]
 [199  19  61 163 199   3 199]]";720
6af6387f-f229-4e85-8605-c5049346c2a2;9;MCTS;1;((3, 2), (3, 3));"{(3, 2): [(3, 1), (3, 3)], (4, 6): [(5, 6)], (3, 3): [(3, 2), (3, 4)], (0, 6): [(1, 6)], (2, 1): [(2, 2)], (1, 5): [(2, 5)], (2, 3): [(3, 3)], (3, 6): [(4, 6)], (2, 2): [(3, 2)], (1, 6): [(2, 6)], (0, 3): [(1, 3), (0, 4)], (3, 4): [(4, 4)], (0, 2): [(0, 3)], (5, 5): [(6, 5)]}
";"[[163 163  43  61  19 163  61]
 [ 43  61  61  19 199 163 199]
 [ 19 163  61  19 199 199  61]
 [ 19  61  19  61  19  19  61]
 [ 43   3 199  43  43  19  19]
 [163  43  19   3   3 163  61]
 [199  19  61 163 199   3 199]]";1500
