Game_Id, Turn_#, Agent, Points, Time_Limit, Move_Made, List_Of_Moves
ec99144a-d6ca-47ac-a6e3-679578192d4b,0,MCTS,600,1,"((1, 3), (2, 3))","{(0, 2): [(1, 2)], (0, 1): [(0, 2)], (1, 3): [(2, 3)], (2, 5): [(3, 5)], (2, 1): [(3, 1), (2, 0), (2, 2)], (2, 4): [(2, 5)], (5, 4): [(6, 4)], (5, 2): [(5, 3)]}","[[ 61   3  19  61 163  19 199]
 [199 199   3 163 199 199 163]
 [ 19  43   3   3 163  43  19]
 [  3  19 199  61  43   3  43]
 [163  19 163 199  43  61  19]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,1,MCTS,660,1,"((2, 5), (3, 5))","{(0, 2): [(0, 1)], (1, 3): [(1, 4)], (0, 6): [(1, 6)], (2, 5): [(3, 5)], (2, 1): [(2, 0)], (2, 4): [(2, 5)], (5, 4): [(6, 4)], (5, 2): [(5, 3)]}","[[ 61   3  19  61 163 163  61]
 [199 199   3 163 163  19 199]
 [ 19  43   3   3 199 199 163]
 [  3  19 199  61 163   3  19]
 [163  19 163 199  43  61  19]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,2,MCTS,720,1,"((0, 5), (1, 5))","{(0, 3): [(1, 3)], (0, 2): [(0, 1)], (0, 5): [(1, 5)], (1, 6): [(2, 6)], (2, 1): [(2, 0)], (2, 4): [(3, 4)], (5, 6): [(6, 6)], (5, 2): [(5, 3)]}","[[ 61   3  19   3  19  61  61]
 [199 199   3  61 163  19 199]
 [ 19  43   3   3 199 199 163]
 [  3  19 199  61 163   3  19]
 [163  19 163 199  43  61  19]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,3,MCTS,900,1,"((0, 2), (0, 3))","{(0, 2): [(1, 2), (0, 1), (0, 3)], (1, 2): [(1, 3)], (1, 6): [(2, 6)], (2, 1): [(2, 0)], (5, 6): [(6, 6)], (5, 2): [(5, 3)]}","[[ 61   3  19  61   3  61  61]
 [199 199   3  61 163  19 199]
 [ 19  43  43   3 199 199 163]
 [  3  19 199  61 163   3  19]
 [163  19 163 199  43  61  19]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,4,MCTS,1260,1,"((2, 3), (3, 3))","{(1, 6): [(2, 6)], (2, 1): [(2, 0)], (2, 3): [(3, 3)], (5, 6): [(6, 6)], (0, 3): [(0, 4)], (5, 2): [(5, 3)]}","[[ 61  61  43 199   3  19  61]
 [199   3  19 199   3  61 199]
 [ 19 199   3 163 163  19 163]
 [  3  19 199   3 163   3  19]
 [163  19 163 199  43  61  19]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,5,MCTS,1440,1,"((2, 5), (2, 6))","{(2, 1): [(2, 0)], (2, 6): [(2, 5)], (5, 6): [(6, 6)], (2, 5): [(2, 6)], (5, 2): [(5, 3)]}","[[ 61  61  43  61  61 199   3]
 [199   3  19 199   3  19 163]
 [ 19 199   3 199   3  61  19]
 [  3  19 199   3 163   3  61]
 [163  19 163 199  43  61 199]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,6,MCTS,1500,1,"((3, 3), (4, 3))","{(3, 3): [(3, 2), (4, 3)], (3, 4): [(3, 3), (3, 5)], (2, 4): [(3, 4)], (2, 1): [(2, 0)], (2, 2): [(3, 2)], (3, 2): [(3, 3)], (2, 3): [(3, 3)], (3, 5): [(3, 6)], (0, 2): [(0, 3)], (0, 1): [(0, 2)], (5, 2): [(5, 3)]}","[[ 61  61  43  61  61 199   3]
 [199   3  19   3   3  19 163]
 [ 19 199   3  43   3  61  19]
 [  3  19 199  61 163   3  61]
 [163  19 163   3  43  61 199]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,7,MCTS,1560,1,"((3, 4), (3, 5))","{(1, 2): [(2, 2)], (1, 3): [(2, 3)], (3, 4): [(3, 5)], (2, 1): [(2, 0)], (3, 5): [(3, 6)], (4, 3): [(5, 3)], (0, 2): [(0, 3)], (0, 1): [(0, 2)], (1, 1): [(1, 2)], (5, 2): [(5, 3)]}","[[ 61  61  43  61  43 199   3]
 [199   3  19   3   3  19 163]
 [ 19 199   3  43   3  61  19]
 [  3  19 199  61  61 163  61]
 [163  19 163   3  43  61 199]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,8,MCTS,1620,1,"((2, 1), (2, 0))","{(1, 2): [(2, 2)], (1, 3): [(2, 3)], (2, 5): [(3, 5)], (2, 1): [(2, 0)], (3, 4): [(3, 5)], (3, 5): [(4, 5), (3, 6)], (4, 3): [(5, 3)], (0, 2): [(0, 3)], (1, 1): [(1, 2)], (5, 2): [(5, 3)]}","[[ 61 163  43  61  43 199   3]
 [199  61  19   3   3  19 163]
 [199 199   3  43   3  61  19]
 [  3  61 199  61  61 163  61]
 [163   3 163   3  43  61 199]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
ec99144a-d6ca-47ac-a6e3-679578192d4b,9,MCTS,1680,1,"((2, 2), (3, 2))","{(1, 2): [(2, 2)], (1, 3): [(2, 3)], (2, 2): [(3, 2)], (2, 5): [(3, 5)], (3, 4): [(3, 5)], (3, 5): [(4, 5), (3, 6)], (4, 3): [(5, 3)], (4, 2): [(5, 2)], (3, 1): [(3, 2)], (5, 2): [(5, 3)]}","[[ 19 163 163  61  43 199   3]
 [ 61 163  43   3   3  19 163]
 [199  61  19  43   3  61  19]
 [  3  61   3  61  61 163  61]
 [163   3 163   3  43  61 199]
 [163 199   3 163   3   3 199]
 [ 61 199  61  19  43 163  19]]"
